date,open,high,low,close,volume,ticker,source
2005-12-15,0.308083,0.310417,0.30125001,0.30441701,332724000.0,NVDA,twelvedata
2005-12-15,2.59571,2.60214,2.54821,2.57786,561162000.0,AAPL,twelvedata
2005-12-16,2.57643,2.58214,2.53786,2.53964,671171200.0,AAPL,twelvedata
2005-12-16,0.3055,0.30841699,0.30258301,0.30708301,1065600000.0,NVDA,twelvedata
2005-12-19,0.30774999,0.31,0.30125001,0.30199999,292296000.0,NVDA,twelvedata
2005-12-19,2.53964,2.59286,2.53714,2.54929,529295200.0,AAPL,twelvedata
2005-12-20,0.301667,0.30625001,0.297833,0.301833,304356000.0,NVDA,twelvedata
2005-12-20,2.55821,2.585,2.54,2.57536,479108000.0,AAPL,twelvedata
2005-12-21,0.30325001,0.30575001,0.2985,0.30125001,289380000.0,NVDA,twelvedata
2005-12-21,2.59286,2.62893,2.59071,2.625,475736800.0,AAPL,twelvedata
2005-12-22,2.63964,2.66036,2.62857,2.64357,370610800.0,AAPL,twelvedata
2005-12-22,0.301,0.31075001,0.300917,0.310417,318336000.0,NVDA,twelvedata
2005-12-23,2.64893,2.65214,2.61786,2.61964,229857600.0,AAPL,twelvedata
2005-12-23,0.31125,0.31325001,0.309167,0.31283301,214536000.0,NVDA,twelvedata
2005-12-27,2.64286,2.685,2.64107,2.65107,590590000.0,AAPL,twelvedata
2005-12-27,0.3125,0.318167,0.31150001,0.31474999,367968000.0,NVDA,twelvedata
2005-12-28,2.65964,2.67,2.61857,2.6275,398115200.0,AAPL,twelvedata
2005-12-28,0.31474999,0.31866699,0.31275001,0.31766701,264420000.0,NVDA,twelvedata
2005-12-29,2.635,2.63643,2.55071,2.55179,490025200.0,AAPL,twelvedata
2005-12-29,0.3175,0.31850001,0.30925,0.310583,310464000.0,NVDA,twelvedata
2005-12-30,2.5325,2.58679,2.51214,2.5675,624262800.0,AAPL,twelvedata
2005-12-30,0.308833,0.30891699,0.303417,0.304667,229608000.0,NVDA,twelvedata
2006-01-03,2.585,2.66964,2.58036,2.66964,807234400.0,AAPL,twelvedata
2006-01-03,0.30641699,0.320833,0.305417,0.31850001,472812000.0,NVDA,twelvedata
2006-01-04,0.32091701,0.32791701,0.31758299,0.32741699,510072000.0,NVDA,twelvedata
2006-01-04,2.68321,2.71357,2.66071,2.6775,619603600.0,AAPL,twelvedata
2006-01-05,0.32749999,0.335417,0.32691699,0.334833,646092000.0,NVDA,twelvedata
2006-01-05,2.6725,2.675,2.63393,2.65643,449422400.0,AAPL,twelvedata
2006-01-06,0.33866701,0.34158301,0.32541701,0.34033301,623388000.0,NVDA,twelvedata
2006-01-06,2.6875,2.73929,2.6625,2.725,704457600.0,AAPL,twelvedata
2006-01-09,2.74036,2.75714,2.705,2.71607,675040800.0,AAPL,twelvedata
2006-01-09,0.34016699,0.35166699,0.33941701,0.34983301,560484000.0,NVDA,twelvedata
2006-01-10,0.348167,0.34991699,0.34375,0.34991699,339660000.0,NVDA,twelvedata
2006-01-10,2.72321,2.92464,2.70821,2.88786,2279869200.0,AAPL,twelvedata
2006-01-11,0.35025001,0.36458299,0.34966701,0.36258301,626304000.0,NVDA,twelvedata
2006-01-11,2.99429,3.028571,2.94964,2.99643,1493794400.0,AAPL,twelvedata
2006-01-12,0.36250001,0.368083,0.35483301,0.35741699,495504000.0,NVDA,twelvedata
2006-01-12,3.034643,3.085714,2.98643,3.010357,1280809600.0,AAPL,twelvedata
2006-01-13,0.356583,0.35949999,0.34924999,0.35425001,421296000.0,NVDA,twelvedata
2006-01-13,3.035357,3.071786,3.021429,3.056786,776305600.0,AAPL,twelvedata
2006-01-17,0.349417,0.35416701,0.34474999,0.354,329232000.0,NVDA,twelvedata
2006-01-17,3.060714,3.085,2.99536,3.025357,835623600.0,AAPL,twelvedata
2006-01-18,2.96714,3.001786,2.92321,2.94607,1200637200.0,AAPL,twelvedata
2006-01-18,0.34325001,0.35699999,0.34,0.35583299,459948000.0,NVDA,twelvedata
2006-01-19,0.36058301,0.38049999,0.35991701,0.37558299,914760000.0,NVDA,twelvedata
2006-01-19,2.90179,2.91643,2.81214,2.82286,1695848000.0,AAPL,twelvedata
2006-01-20,2.83143,2.85857,2.70821,2.7175,1134758800.0,AAPL,twelvedata
2006-01-20,0.376167,0.38049999,0.36500001,0.36508301,461604000.0,NVDA,twelvedata
2006-01-23,0.367917,0.37024999,0.36291701,0.367167,334884000.0,NVDA,twelvedata
2006-01-23,2.71786,2.84143,2.71429,2.77393,1059730000.0,AAPL,twelvedata
2006-01-24,0.368,0.37666699,0.36700001,0.36899999,388896000.0,NVDA,twelvedata
2006-01-24,2.81286,2.83643,2.70607,2.71571,1142254400.0,AAPL,twelvedata
2006-01-25,0.37083301,0.37325001,0.36133301,0.36575001,400236000.0,NVDA,twelvedata
2006-01-25,2.76393,2.76786,2.61607,2.65,1275786400.0,AAPL,twelvedata
2006-01-26,2.66179,2.69393,2.56893,2.58321,1181387200.0,AAPL,twelvedata
2006-01-26,0.37108299,0.37858301,0.36875001,0.37825,448836000.0,NVDA,twelvedata
2006-01-27,2.60536,2.62857,2.53929,2.5725,953864800.0,AAPL,twelvedata
2006-01-27,0.383167,0.389667,0.38,0.38541701,385044000.0,NVDA,twelvedata
2006-01-30,0.38708299,0.38749999,0.37933299,0.38108301,315780000.0,NVDA,twelvedata
2006-01-30,2.54179,2.73571,2.53107,2.67857,1398401200.0,AAPL,twelvedata
2006-01-31,2.69643,2.72643,2.63393,2.69679,913542000.0,AAPL,twelvedata
2006-01-31,0.37916699,0.38124999,0.37175,0.37466699,384456000.0,NVDA,twelvedata
2006-02-01,2.67679,2.73071,2.66571,2.69357,521186400.0,AAPL,twelvedata
2006-02-01,0.367917,0.37641701,0.36649999,0.374917,450852000.0,NVDA,twelvedata
2006-02-02,0.378333,0.37858301,0.36291701,0.3635,473736000.0,NVDA,twelvedata
2006-02-02,2.68214,2.69143,2.57321,2.575,707322000.0,AAPL,twelvedata
2006-02-03,2.58,2.59964,2.53714,2.56607,692123600.0,AAPL,twelvedata
2006-02-03,0.36116701,0.371333,0.36000001,0.366833,504252000.0,NVDA,twelvedata
2006-02-06,2.57214,2.58964,2.38357,2.40357,1651767600.0,AAPL,twelvedata
2006-02-06,0.36583301,0.377583,0.36425,0.37716699,363468000.0,NVDA,twelvedata
2006-02-07,2.43821,2.48143,2.38143,2.41429,1388830800.0,AAPL,twelvedata
2006-02-07,0.37791699,0.37791699,0.363583,0.36375001,399408000.0,NVDA,twelvedata
2006-02-08,2.44607,2.46714,2.35714,2.4575,953114400.0,AAPL,twelvedata
2006-02-08,0.364833,0.37424999,0.364833,0.37424999,393072000.0,NVDA,twelvedata
2006-02-09,2.46786,2.4725,2.30464,2.31964,1149764000.0,AAPL,twelvedata
2006-02-09,0.37541699,0.38124999,0.365583,0.367917,437100000.0,NVDA,twelvedata
2006-02-10,0.36925,0.37091699,0.35725001,0.36583301,414996000.0,NVDA,twelvedata
2006-02-10,2.32786,2.41679,2.24643,2.40393,1760477600.0,AAPL,twelvedata
2006-02-13,2.37964,2.38393,2.30857,2.31107,883498000.0,AAPL,twelvedata
2006-02-13,0.364667,0.36966699,0.362167,0.36708301,280740000.0,NVDA,twelvedata
2006-02-14,2.325,2.43214,2.32143,2.41571,1160938800.0,AAPL,twelvedata
2006-02-14,0.36708301,0.36908299,0.36291701,0.36774999,342348000.0,NVDA,twelvedata
2006-02-15,0.36700001,0.375833,0.366083,0.37483299,493296000.0,NVDA,twelvedata
2006-02-15,2.39857,2.48643,2.38393,2.47214,1159771200.0,AAPL,twelvedata
2006-02-16,0.38183299,0.39416701,0.37924999,0.39333299,1305888000.0,NVDA,twelvedata
2006-02-16,2.49679,2.53607,2.48143,2.52036,948175200.0,AAPL,twelvedata
2006-02-17,0.42225,0.422667,0.39333299,0.395583,2356956000.0,NVDA,twelvedata
2006-02-17,2.51071,2.53179,2.48607,2.51036,575999200.0,AAPL,twelvedata
2006-02-21,0.39475,0.395417,0.38374999,0.38716701,684060000.0,NVDA,twelvedata
2006-02-21,2.52107,2.52857,2.45286,2.46714,779606800.0,AAPL,twelvedata
2006-02-22,0.38166699,0.38958299,0.3725,0.3865,939756000.0,NVDA,twelvedata
2006-02-22,2.46429,2.55964,2.42857,2.54714,978238800.0,AAPL,twelvedata
2006-02-23,0.385333,0.38791701,0.3795,0.38058299,385128000.0,NVDA,twelvedata
